,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,5.00,15.00,25.00,35.00,45.00,55.00,65.00,75.00,85.00,95.00,105.00,115.00,125.00,135.00,145.00,155.00,170.00,190.00,220.00,270.00
,5.14,4.26,3.99,3.28,2.67,2.19,1.89,1.60,1.46,1.19,1.21,1.09,1.04,0.97,0.94,0.86,0.78,0.76,0.64,0.64
,0.17,0.11,0.10,0.07,0.06,0.05,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.05
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,5.14,4.36,3.92,3.20,2.77,2.21,1.81,1.54,1.34,1.32,1.16,1.04,1.00,0.85,0.83,0.77,0.76,0.66,0.60,0.59
,0.17,0.12,0.09,0.07,0.06,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.05
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,5.36,4.48,4.13,3.49,2.83,2.27,1.87,1.66,1.41,1.32,1.09,1.07,1.00,0.87,0.76,0.76,0.70,0.63,0.55,0.45
,0.19,0.12,0.10,0.08,0.06,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,5.12,4.45,3.61,3.03,2.54,2.08,1.81,1.56,1.42,1.33,1.28,1.16,1.05,1.02,1.02,0.87,0.89,0.73,0.81,0.75
,0.16,0.11,0.08,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.06
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,5.51,4.42,3.89,3.24,2.64,2.23,1.85,1.68,1.46,1.33,1.22,1.15,1.10,0.99,0.92,0.88,0.83,0.76,0.69,0.63
,0.18,0.12,0.09,0.07,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.05
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,5.05,4.40,3.88,3.45,2.76,2.28,1.87,1.68,1.48,1.36,1.16,1.12,1.06,0.93,0.93,0.87,0.77,0.76,0.69,0.51
,0.17,0.12,0.09,0.08,0.06,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.04
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,4.96,4.14,3.63,2.99,2.42,2.03,1.64,1.60,1.44,1.34,1.27,1.16,1.12,1.09,1.03,0.95,0.99,0.81,0.88,0.75
,0.14,0.10,0.08,0.06,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.05,0.05
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,5.15,4.24,3.86,3.28,2.61,2.13,1.81,1.67,1.47,1.38,1.30,1.26,1.12,1.07,0.99,0.96,0.86,0.81,0.68,0.67
,0.16,0.11,0.09,0.07,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.03,0.04,0.03,0.05
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,5.29,4.56,3.93,3.47,2.73,2.23,1.91,1.70,1.50,1.37,1.28,1.17,1.11,1.02,0.98,0.98,0.88,0.78,0.77,0.65
,0.17,0.12,0.09,0.08,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.03,0.04,0.04,0.05
