AMD+JAM,#chi BUU,UrQMD,IQMD-BNU,SMASH,TuQMD,pBUU
55,45.6,46,54.6,55,54.6,56.1
2.010429448,2.3261826,1.831156419,2.014091353,1.846693731,2.139241691,2.053547455
,,,,,,
,,,,,,
AMD+JAM,#chi BUU,UrQMD,IQMD-BNU,SMASH,TuQMD,pBUU
152,120,104,144.6,152,144.6,134.8
1.905637255,2.132652096,1.811179408,1.77183966,1.89199499,2.209500946,1.919319357
