name,L,pip,pim
AMD+JAM,55,0,0
AMD+JAM,82,0,0
AMD+JAM,152,0,0
r'$\chi \text{BUU}$',45.6,0,0
r'$\chi \text{BUU}$',120,0,0
UrQMD,46,0.13985,0.3513
UrQMD,81,0.13936,0.35188
UrQMD,104,0.1394,0.34521
IQMD-BNU,54.6,0,0
IQMD-BNU,84.6,0,0
IQMD-BNU,144.6,0,0
SMASH,55,0,0
SMASH,82,0,0
SMASH,152,0,0
TuQMD,54.6,0.162285,0.579516
TuQMD,84.6,0.158706,0.598372
TuQMD,144.6,0.163794,0.626352
pBUU,56.1,0.196993,0.521315
pBUU,134.8,0.200215,0.497541
