name,L,pip,pim
AMD+JAM,55,0.116,0.2
AMD+JAM,152,0.116,0.192
#chiBUU,45.6,0.134,0.269
#chiBUU,120,0.14,0.271
UrQMD,46,0.144,0.292
UrQMD,104,0.147,0.274
IQMD-BNU,54.6,0.174835,0.3187
IQMD-BNU,144.6,0.166865,0.2779
SMASH,55,0.190153,0.287452
SMASH,152,0.188112,0.291527
TuQMD,54.6,0.176,0.442
TuQMD,144.6,0.181,0.474
pBUU,56.1,0.213347,0.400747
pBUU,134.8,0.214346,0.392341
