System: A1+A2=192
Executable: ./pispectr
Energy: 0.270000
Filter: 0
   scm(1) or lab(0) filter:  1
   theta cut: 0
       thmin1,thmax1: 0.000000 0.000000
       thmin2,thmax2: 0.000000 0.000000
   rapidity cut: 0
       rapmin,rapmax: 0.000000 0.000000
   pt cut: 0
       ptmin,ptmax: 0.000000 0.000000
   phi cut: 0
       phimin,phimax: 0.000000 0.000000
   ekin cut: 0
       ekmin,ekmax: 0.000000 0.300000

Number of records read: 79810
Number of events that dont conserve energy: 196

pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.551485    0.002581    0.236449    0.001706    0.110512    0.001179    4.990249    0.058118    0.661997    0.002838  

<pt>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.101076   0.000266   0.119083   0.000453   0.137117   0.000746   1.356572   0.008200   0.107093   0.000255   0.060031

<pm>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.133780   0.000282   0.155284   0.000474   0.176184   0.000776   1.316969   0.006432   0.140859   0.000268   0.140859

avdens: pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  


 Ekin  pi-   err  pi0   err   pi+    err    pi-/pi+   err
    12.500   0.004675103   0.000048364   0.001185816   0.000024306   0.000401453   0.000014167  11.645443196   0.428241894  
    37.500   0.006515975   0.000057134   0.002390678   0.000034618   0.000773838   0.000019682   8.420336788   0.226531545  
    62.500   0.004768325   0.000048519   0.002125047   0.000032623   0.000878085   0.000020999   5.430365297   0.141133858  
    87.500   0.002880842   0.000038044   0.001478511   0.000027254   0.000747776   0.000019386   3.852546917   0.112087578  
   112.500   0.001581255   0.000028229   0.000923694   0.000021478   0.000582884   0.000017085   2.712811694   0.093102731  
   137.500   0.000808921   0.000020106   0.000578374   0.000017065   0.000402957   0.000014210   2.007462687   0.086610439  
   162.500   0.000402456   0.000014166   0.000346824   0.000013222   0.000246084   0.000011094   1.635437882   0.093541176  
   187.500   0.000215011   0.000010401   0.000208495   0.000010196   0.000169904   0.000009208   1.265486726   0.091933316  
   212.500   0.000110262   0.000007424   0.000103746   0.000007202   0.000093221   0.000006864   1.182795699   0.118010470  
   237.500   0.000051121   0.000005059   0.000055131   0.000005253   0.000059140   0.000005440   0.864406780   0.116785925  
   262.500   0.000027064   0.000003682   0.000028067   0.000003749   0.000032076   0.000004008   0.843750000   0.155850612  
   287.500   0.000012029   0.000002455   0.000012530   0.000002506   0.000016038   0.000002835   0.750000000   0.202488344  


 rap  pi-   err  pi0   err   pi+    err    pi-/pi+   err
 -0.973684    0.102844    0.004935    0.056660    0.003667    0.035472    0.002903    2.899329    0.275072  
 -0.921053    0.076419    0.004270    0.037376    0.002980    0.022616    0.002319    3.378947    0.394570  
 -0.868421    0.101178    0.004906    0.052374    0.003542    0.027139    0.002540    3.728070    0.392969  
 -0.815789    0.109748    0.005108    0.062849    0.003862    0.029044    0.002628    3.778689    0.384430  
 -0.763158    0.147124    0.005943    0.067849    0.004012    0.035234    0.002894    4.175676    0.382160  
 -0.710526    0.171645    0.006399    0.077371    0.004296    0.041900    0.003155    4.096591    0.344189  
 -0.657895    0.198070    0.006864    0.090703    0.004648    0.043090    0.003217    4.596685    0.378336  
 -0.605263    0.241398    0.007578    0.103320    0.004957    0.047375    0.003371    5.095477    0.396284  
