System: A1+A2=192
Executable: ./pispectr
Energy: 0.270000
Filter: 0
   scm(1) or lab(0) filter:  1
   theta cut: 0
       thmin1,thmax1: 0.000000 0.000000
       thmin2,thmax2: 0.000000 0.000000
   rapidity cut: 0
       rapmin,rapmax: 0.000000 0.000000
   pt cut: 0
       ptmin,ptmax: 0.000000 0.000000
   phi cut: 0
       phimin,phimax: 0.000000 0.000000
   ekin cut: 0
       ekmin,ekmax: 0.000000 0.300000

Number of records read: 84156
Number of events that dont conserve energy: 249

pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.598044    0.002626    0.258496    0.001738    0.134013    0.001256    4.462582    0.046202    0.732057    0.002911  

<pt>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.103472   0.000258   0.119391   0.000421   0.129008   0.000637   1.246793   0.006901   0.108147   0.000241   0.060652

<pm>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.136404   0.000275   0.155541   0.000439   0.167681   0.000660   1.229304   0.005436   0.142129   0.000255   0.142129

avdens: pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  


 Ekin  pi-   err  pi0   err   pi+    err    pi-/pi+   err
    12.500   0.005028   0.000049   0.001285   0.000025   0.000585   0.000017   8.600000   0.259112   0.005612   0.000052  
    37.500   0.006712   0.000056   0.002612   0.000035   0.001031   0.000022   6.507373   0.149906   0.007743   0.000060  
    62.500   0.005060   0.000049   0.002245   0.000033   0.001109   0.000023   4.563223   0.104508   0.006169   0.000054  
    87.500   0.003222   0.000039   0.001687   0.000028   0.000946   0.000021   3.406533   0.086767   0.004168   0.000044  
   112.500   0.001854   0.000030   0.001045   0.000022   0.000641   0.000017   2.891772   0.091232   0.002495   0.000034  
   137.500   0.000977   0.000022   0.000637   0.000017   0.000444   0.000015   2.198930   0.086696   0.001422   0.000026  
   162.500   0.000500   0.000015   0.000385   0.000013   0.000259   0.000011   1.932110   0.102006   0.000760   0.000019  
   187.500   0.000277   0.000011   0.000203   0.000010   0.000146   0.000008   1.889610   0.133066   0.000423   0.000014  
   212.500   0.000133   0.000008   0.000105   0.000007   0.000090   0.000007   1.476190   0.139085   0.000222   0.000010  
   237.500   0.000069   0.000006   0.000067   0.000006   0.000053   0.000005   1.294643   0.163230   0.000122   0.000008  
   262.500   0.000039   0.000004   0.000034   0.000004   0.000032   0.000004   1.238806   0.205041   0.000071   0.000006  
   287.500   0.000028   0.000004   0.000016   0.000003   0.000010   0.000002   2.681818   0.669810   0.000038   0.000004  


 rap  pi-   err  pi0   err   pi+    err    pi-/pi+   err
 -0.973684    0.110176    0.004993    0.064119    0.003798    0.034995    0.002808    3.148387    0.290161  
 -0.921053    0.084213    0.004374    0.045380    0.003197    0.027318    0.002482    3.082645    0.322581  
