System: A1+A2=192
Executable: ./pispectr
Energy: 0.270000
Filter: 0
   scm(1) or lab(0) filter:  1
   theta cut: 0
       thmin1,thmax1: 0.000000 0.000000
       thmin2,thmax2: 0.000000 0.000000
   rapidity cut: 0
       rapmin,rapmax: 0.000000 0.000000
   pt cut: 0
       ptmin,ptmax: 0.000000 0.000000
   phi cut: 0
       phimin,phimax: 0.000000 0.000000
   ekin cut: 0
       ekmin,ekmax: 0.000000 0.300000

Number of records read: 84156
Number of events that dont conserve energy: 249

pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.598044    0.002626    0.258496    0.001738    0.134013    0.001256    4.462582    0.046202    0.732057    0.002911  

<pt>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.103472   0.000258   0.119391   0.000421   0.129008   0.000637   1.246793   0.006901   0.108147   0.000241   0.060652

<pm>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.136404   0.000275   0.155541   0.000439   0.167681   0.000660   1.229304   0.005436   0.142129   0.000255   0.142129

avdens: pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  


 Ekin  pi-   err  pi0   err   pi+    err    pi-/pi+   err
 -0.868421    0.108370    0.004943    0.052379    0.003434    0.033188    0.002735    3.265306    0.307546  
 -0.815789    0.118981    0.005177    0.059604    0.003663    0.034769    0.002799    3.422078    0.313162  
 -0.763158    0.158491    0.006000    0.067957    0.003910    0.034543    0.002808    4.588235    0.411471  
 -0.710526    0.191680    0.006561    0.087825    0.004443    0.052153    0.003427    3.675325    0.272288  
 -0.657895    0.227803    0.007164    0.094147    0.004621    0.056217    0.003557    4.052209    0.286340  
 -0.605263    0.260766    0.007640    0.116046    0.005113    0.063216    0.003772    4.125000    0.274179  
 -0.552632    0.292148    0.008122    0.127109    0.005358    0.063216    0.003785    4.621429    0.305081  
 -0.500000    0.318112    0.008458    0.140430    0.005628    0.075859    0.004130    4.193452    0.254084  
 -0.447368    0.360105    0.009016    0.143365    0.005695    0.073601    0.004081    4.892638    0.297659  
 -0.394737    0.377038    0.009223    0.155782    0.005915    0.081052    0.004269    4.651811    0.270127  
 -0.342105    0.394422    0.009393    0.166845    0.006119    0.076988    0.004161    5.123167    0.302560  
 -0.289474    0.405711    0.009559    0.171135    0.006221    0.085342    0.004391    4.753968    0.269040  
 -0.236842    0.406162    0.009559    0.172941    0.006236    0.087148    0.004448    4.660622    0.261971  
 -0.184211    0.428288    0.009842    0.177230    0.006344    0.096179    0.004670    4.453052    0.239209  
 -0.131579    0.441608    0.010007    0.186487    0.006488    0.097533    0.004691    4.527778    0.240745  
 -0.078947    0.449736    0.010064    0.172489    0.006285    0.096404    0.004653    4.665105    0.248206  
 -0.026316    0.439577    0.009944    0.189422    0.006546    0.087148    0.004426    5.044041    0.280412  


 pt  pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.010000    1.082513    0.025295    0.242407    0.012001    0.145563    0.009324    7.436735    0.507067  
  0.030000    2.763915    0.040614    0.736727    0.020987    0.366581    0.014776    7.539708    0.323466  
  0.050000    3.558273    0.046093    1.130044    0.026000    0.513927    0.017485    6.923699    0.252060  
  0.070000    4.051405    0.049089    1.578022    0.030505    0.664243    0.019858    6.099284    0.196751  
  0.090000    4.183302    0.049730    1.761015    0.032224    0.767028    0.021366    5.453912    0.165176  
  0.110000    3.985456    0.048419    1.742003    0.032137    0.802082    0.021833    4.968889    0.148113  
  0.130000    3.229122    0.043773    1.536432    0.030217    0.783070    0.021515    4.123672    0.126339  
  0.150000    2.408028    0.037856    1.230453    0.027110    0.689790    0.020192    3.490956    0.115993  
  0.170000    1.677242    0.031463    0.933386    0.023539    0.588193    0.018716    2.851515    0.105328  
  0.190000    1.119944    0.025766    0.700485    0.020379    0.433124    0.016104    2.585734    0.113058  
  0.210000    0.715338    0.020657    0.478873    0.016871    0.308356    0.013494    2.319846    0.121626  
  0.230000    0.446195    0.016339    0.320833    0.013813    0.226959    0.011616    1.965969    0.123725  
  0.250000    0.267361    0.012598    0.197847    0.010853    0.137839    0.009076    1.939655    0.157050  
  0.270000    0.155069    0.009584    0.130710    0.008801    0.090903    0.007342    1.705882    0.173494  
  0.290000    0.100409    0.007762    0.062384    0.006084    0.064167    0.006170    1.564815    0.193067  
