System: A1+A2=192
Executable: ./pispectr
Energy: 0.270000
Filter: 0
   scm(1) or lab(0) filter:  1
   theta cut: 0
       thmin1,thmax1: 0.000000 0.000000
       thmin2,thmax2: 0.000000 0.000000
   rapidity cut: 0
       rapmin,rapmax: 0.000000 0.000000
   pt cut: 0
       ptmin,ptmax: 0.000000 0.000000
   phi cut: 0
       phimin,phimax: 0.000000 0.000000
   ekin cut: 0
       ekmin,ekmax: 0.000000 0.300000

Number of records read: 85600
Number of events that dont conserve energy: 179

pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.534311    0.002462    0.235923    0.001650    0.112745    0.001139    4.739094    0.052631    0.647056    0.002713  

<pt>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.101536   0.000265   0.119217   0.000439   0.136437   0.000715   1.343739   0.007865   0.107617   0.000252   0.060718

<pm>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.134282   0.000280   0.155237   0.000456   0.175824   0.000740   1.309365   0.006150   0.141520   0.000265   0.141520

avdens: pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  


 Ekin  pi-   err  pi0   err   pi+    err    pi-/pi+   err
   287.500   0.000021   0.000003   0.000018   0.000003   0.000020   0.000003   1.069767   0.226860   0.000042   0.000004  


 rap  pi-   err  pi0   err   pi+    err    pi-/pi+   err
 -0.973684    0.095666    0.004607    0.054381    0.003469    0.035736    0.002814    2.677019    0.247081  
 -0.921053    0.070362    0.003957    0.041285    0.003024    0.021530    0.002185    3.268041    0.379155  
 -0.868421    0.096110    0.004628    0.049054    0.003295    0.028411    0.002509    3.382812    0.340304  
 -0.815789    0.121857    0.005194    0.065701    0.003812    0.033294    0.002716    3.660000    0.336868  
 -0.763158    0.134731    0.005458    0.068143    0.003882    0.032407    0.002680    4.157534    0.382828  
 -0.710526    0.170689    0.006152    0.077687    0.004156    0.037512    0.002883    4.550296    0.386222  
 -0.657895    0.193551    0.006536    0.093890    0.004575    0.042617    0.003072    4.541667    0.361541  
 -0.605263    0.227512    0.007119    0.108318    0.004889    0.043505    0.003104    5.229592    0.407422  
 -0.552632    0.256367    0.007564    0.115421    0.005056    0.056379    0.003546    4.547244    0.315925  
 -0.500000    0.273236    0.007801    0.120082    0.005175    0.047722    0.003251    5.725581    0.422867  
 -0.447368    0.316297    0.008380    0.133843    0.005440    0.072804    0.004012    4.344512    0.265655  
 -0.394737    0.317185    0.008373    0.137839    0.005556    0.059486    0.003628    5.332090    0.354357  
 -0.342105    0.368680    0.009105    0.147827    0.005723    0.069474    0.003932    5.306709    0.327711  
 -0.289474    0.375783    0.009145    0.156484    0.005878    0.072138    0.004043    5.209231    0.318285  
 -0.236842    0.384439    0.009229    0.162921    0.006004    0.078353    0.004185    4.906516    0.287341  
 -0.184211    0.388879    0.009280    0.154708    0.005853    0.069252    0.003926    5.615385    0.345404  
 -0.131579    0.407301    0.009494    0.161145    0.006021    0.074579    0.004061    5.461310    0.323459  
 -0.078947    0.403750    0.009465    0.164918    0.006048    0.085900    0.004368    4.700258    0.263181  
 -0.026316    0.383329    0.009227    0.176238    0.006273    0.085012    0.004346    4.509138    0.254770  


 pt  pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.010000    0.940421    0.023348    0.239486    0.011799    0.082360    0.006930   11.418440    1.001762  
  0.030000    2.443925    0.037708    0.659463    0.019688    0.287967    0.012958    8.486815    0.403727  
  0.050000    3.307827    0.043806    1.051986    0.024899    0.408294    0.015402    8.101574    0.323901  
  0.070000    3.842290    0.047376    1.452103    0.029076    0.502921    0.017173    7.639954    0.277361  
  0.090000    3.872664    0.047484    1.599299    0.030488    0.575350    0.018264    6.730964    0.229052  
  0.110000    3.594042    0.045765    1.558995    0.030124    0.627921    0.019120    5.723721    0.188913  
  0.130000    2.872079    0.040832    1.387850    0.028436    0.640771    0.019399    4.482224    0.149912  
  0.150000    2.086449    0.034964    1.155958    0.026000    0.588785    0.018583    3.543651    0.126630  
  0.170000    1.389019    0.028400    0.878505    0.022589    0.526869    0.017567    2.636364    0.103113  
  0.190000    0.882593    0.022640    0.626752    0.019174    0.448598    0.016304    1.967448    0.087522  
  0.210000    0.569509    0.018172    0.417640    0.015575    0.302570    0.013254    1.882239    0.102006  
  0.230000    0.372664    0.014791    0.275117    0.012669    0.220794    0.011331    1.687831    0.109504  
  0.250000    0.189836    0.010510    0.180491    0.010249    0.128505    0.008653    1.477273    0.128777  
  0.270000    0.123832    0.008534    0.109813    0.008043    0.101636    0.007697    1.218391    0.124760  
  0.290000    0.079439    0.006806    0.065421    0.006178    0.064836    0.006150    1.225225    0.156611  
