System: A1+A2=192
Executable: ./pispectr
Energy: 0.270000
Filter: 0
   scm(1) or lab(0) filter:  1
   theta cut: 0
       thmin1,thmax1: 0.000000 0.000000
       thmin2,thmax2: 0.000000 0.000000
   rapidity cut: 0
       rapmin,rapmax: 0.000000 0.000000
   pt cut: 0
       ptmin,ptmax: 0.000000 0.000000
   phi cut: 0
       phimin,phimax: 0.000000 0.000000
   ekin cut: 0
       ekmin,ekmax: 0.000000 0.300000

Number of records read: 85600
Number of events that dont conserve energy: 179

pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.534311    0.002462    0.235923    0.001650    0.112745    0.001139    4.739094    0.052631    0.647056    0.002713  

<pt>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.101536   0.000265   0.119217   0.000439   0.136437   0.000715   1.343739   0.007865   0.107617   0.000252   0.060718

<pm>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.134282   0.000280   0.155237   0.000456   0.175824   0.000740   1.309365   0.006150   0.141520   0.000265   0.141520

avdens: pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  


 Ekin  pi-   err  pi0   err   pi+    err    pi-/pi+   err
    12.500   0.004575   0.000046   0.001189   0.000024   0.000432   0.000014  10.595238   0.363509   0.005007   0.000048  
    37.500   0.006173   0.000053   0.002327   0.000033   0.000754   0.000019   8.185254   0.216424   0.006928   0.000057  
    62.500   0.004700   0.000047   0.002129   0.000031   0.000879   0.000020   5.347687   0.134438   0.005579   0.000051  
    87.500   0.002797   0.000036   0.001526   0.000027   0.000813   0.000019   3.440230   0.093219   0.003610   0.000041  
   112.500   0.001507   0.000027   0.000957   0.000021   0.000612   0.000017   2.461832   0.080542   0.002119   0.000031  
   137.500   0.000766   0.000019   0.000573   0.000016   0.000397   0.000014   1.931684   0.081967   0.001163   0.000023  
   162.500   0.000390   0.000014   0.000333   0.000012   0.000249   0.000011   1.569549   0.086900   0.000639   0.000017  
   187.500   0.000219   0.000010   0.000171   0.000009   0.000162   0.000009   1.355491   0.095925   0.000381   0.000013  
   212.500   0.000112   0.000007   0.000098   0.000007   0.000083   0.000006   1.350282   0.133742   0.000194   0.000010  
   237.500   0.000062   0.000005   0.000065   0.000006   0.000059   0.000005   1.055556   0.131127   0.000121   0.000008  
   262.500   0.000029   0.000004   0.000030   0.000004   0.000029   0.000004   0.983871   0.177367   0.000057   0.000005  
