System: A1+A2=192
Executable: ./pispectr
Energy: 0.270000
Filter: 0
   scm(1) or lab(0) filter:  1
   theta cut: 0
       thmin1,thmax1: 0.000000 0.000000
       thmin2,thmax2: 0.000000 0.000000
   rapidity cut: 0
       rapmin,rapmax: 0.000000 0.000000
   pt cut: 0
       ptmin,ptmax: 0.000000 0.000000
   phi cut: 0
       phimin,phimax: 0.000000 0.000000
   ekin cut: 0
       ekmin,ekmax: 0.000000 0.300000

Number of records read: 84692
Number of events that dont conserve energy: 212

pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.524276    0.002449    0.237331    0.001664    0.104461    0.001107    5.018876    0.058114    0.628737    0.002687  

<pt>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.103097   0.000276   0.118074   0.000438   0.129785   0.000720   1.258866   0.007750   0.107531   0.000259   0.060600

<pm>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.136016   0.000293   0.154422   0.000458   0.169003   0.000745   1.242527   0.006098   0.141496   0.000274   0.141496

avdens: pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  


 Ekin  pi-   err  pi0   err   pi+    err    pi-/pi+   err
    12.500   0.004396   0.000046   0.001221   0.000024   0.000455   0.000015   9.665628   0.326409   0.004851   0.000048  
    37.500   0.006005   0.000053   0.002420   0.000034   0.000750   0.000019   8.006927   0.213139   0.006755   0.000056  
    62.500   0.004475   0.000046   0.002080   0.000031   0.000887   0.000021   5.045261   0.127537   0.005362   0.000050  
    87.500   0.002796   0.000036   0.001504   0.000027   0.000719   0.000018   3.887065   0.111452   0.003515   0.000041  
   112.500   0.001520   0.000027   0.000942   0.000021   0.000527   0.000016   2.886099   0.100104   0.002046   0.000031  
   137.500   0.000823   0.000020   0.000579   0.000017   0.000361   0.000013   2.281414   0.098860   0.001184   0.000024  
   162.500   0.000447   0.000015   0.000331   0.000012   0.000209   0.000010   2.140271   0.123081   0.000656   0.000018  
   187.500   0.000241   0.000011   0.000189   0.000009   0.000117   0.000007   2.060484   0.159248   0.000358   0.000013  
   212.500   0.000124   0.000008   0.000110   0.000007   0.000079   0.000006   1.574850   0.155637   0.000203   0.000010  
   237.500   0.000065   0.000006   0.000066   0.000006   0.000037   0.000004   1.734177   0.244844   0.000102   0.000007  
   262.500   0.000037   0.000004   0.000022   0.000003   0.000013   0.000002   2.821429   0.620387   0.000051   0.000005  
   287.500   0.000017   0.000003   0.000016   0.000003   0.000009   0.000002   1.800000   0.501920   0.000026   0.000004  


 rap  pi-   err  pi0   err   pi+    err    pi-/pi+   err
 -0.973684    0.105890    0.004871    0.064611    0.003801    0.030735    0.002624    3.445255    0.334088  
 -0.921053    0.074482    0.004080    0.041279    0.003056    0.021088    0.002174    3.531915    0.412293  
 -0.868421    0.105217    0.004855    0.047785    0.003270    0.022659    0.002253    4.643564    0.509072  
 -0.815789    0.116658    0.005110    0.056759    0.003563    0.031857    0.002671    3.661972    0.346422  
 -0.763158    0.135278    0.005508    0.073809    0.004074    0.032978    0.002718    4.102041    0.377042  
 -0.710526    0.168705    0.006157    0.081661    0.004294    0.031184    0.002643    5.410072    0.499211  
 -0.657895    0.191140    0.006546    0.094672    0.004608    0.045093    0.003177    4.238806    0.332043  
 -0.605263    0.220753    0.007061    0.109030    0.004942    0.045766    0.003216    4.823529    0.372421  
 -0.552632    0.236232    0.007283    0.123164    0.005268    0.046439    0.003224    5.086957    0.386394  
 -0.500000    0.274146    0.007818    0.124286    0.005273    0.048682    0.003316    5.631336    0.415812  
 -0.447368    0.297029    0.008161    0.137298    0.005575    0.052047    0.003412    5.706897    0.405689  
 -0.394737    0.329559    0.008559    0.142457    0.005668    0.055861    0.003535    5.899598    0.403541  
 -0.342105    0.336289    0.008696    0.145149    0.005711    0.062592    0.003755    5.372760    0.350951  
 -0.289474    0.346609    0.008795    0.152328    0.005848    0.064835    0.003807    5.346021    0.341987  
 -0.236842    0.376222    0.009184    0.170276    0.006194    0.065508    0.003827    5.743151    0.363625  
 -0.184211    0.386317    0.009318    0.150758    0.005819    0.074930    0.004092    5.155689    0.307788  
 -0.131579    0.384523    0.009308    0.166686    0.006097    0.067303    0.003879    5.713333    0.357138  
 -0.078947    0.397310    0.009428    0.168032    0.006121    0.075828    0.004128    5.239645    0.311189  
 -0.026316    0.400675    0.009545    0.175436    0.006245    0.072911    0.004037    5.495385    0.331215  


 pt  pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.010000    0.910358    0.023182    0.247367    0.012084    0.099183    0.007645    9.178571    0.745052  
  0.030000    2.429982    0.037867    0.688377    0.020176    0.296958    0.013254    8.182903    0.386845  
  0.050000    3.156733    0.042978    1.124663    0.025667    0.418576    0.015721    7.541608    0.301280  
  0.070000    3.626080    0.046248    1.423983    0.028942    0.514216    0.017454    7.051665    0.255693  
  0.090000    3.744746    0.047015    1.645374    0.031113    0.557314    0.018172    6.719280    0.234776  
  0.110000    3.534572    0.045584    1.568035    0.030384    0.623436    0.019192    5.669508    0.189233  
  0.130000    2.825533    0.040678    1.416309    0.028844    0.596869    0.018790    4.733927    0.163870  
  0.150000    2.004322    0.034378    1.124073    0.025783    0.559675    0.018210    3.581224    0.131720  
  0.170000    1.413947    0.028906    0.841284    0.022333    0.422708    0.015730    3.344972    0.142024  
  0.190000    0.940467    0.023593    0.619893    0.019121    0.361309    0.014600    2.602941    0.123803  
  0.210000    0.607495    0.018970    0.387286    0.015108    0.263307    0.012491    2.307175    0.131034  
  0.230000    0.374888    0.014868    0.282199    0.012871    0.180064    0.010326    2.081967    0.145161  
  0.250000    0.265669    0.012490    0.180064    0.010292    0.117485    0.008318    2.261307    0.192194  
  0.270000    0.132244    0.008824    0.112762    0.008150    0.077929    0.006778    1.696970    0.186021  
  0.290000    0.096821    0.007553    0.077339    0.006752    0.053724    0.005629    1.802198    0.235413  
