System: A1+A2=192
Executable: ./pispectr
Energy: 0.270000
Filter: 0
   scm(1) or lab(0) filter:  1
   theta cut: 0
       thmin1,thmax1: 0.000000 0.000000
       thmin2,thmax2: 0.000000 0.000000
   rapidity cut: 0
       rapmin,rapmax: 0.000000 0.000000
   pt cut: 0
       ptmin,ptmax: 0.000000 0.000000
   phi cut: 0
       phimin,phimax: 0.000000 0.000000
   ekin cut: 0
       ekmin,ekmax: 0.000000 0.300000

Number of records read: 79796
Number of events that dont conserve energy: 255

pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.550190    0.002593    0.254699    0.001766    0.114066    0.001191    4.823445    0.055270    0.664256    0.002854  

<pt>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.104682   0.000283   0.118446   0.000441   0.126622   0.000694   1.209584   0.007391   0.108450   0.000263   0.061118

<pm>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.137909   0.000302   0.155045   0.000459   0.164689   0.000725   1.194189   0.005872   0.142507   0.000279   0.142507

avdens: pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  


 Ekin  pi-   err  pi0   err   pi+    err    pi-/pi+   err
    12.500   0.004543085   0.000047475   0.001305329   0.000025644   0.000544388   0.000016574   8.345303867   0.268627307  
    37.500   0.006155196   0.000055720   0.002558524   0.000035797   0.000878240   0.000020955   7.008561644   0.178858211  
    62.500   0.004655872   0.000048235   0.002270289   0.000033604   0.000994035   0.000022236   4.683812405   0.115466134  
    87.500   0.002908416   0.000038111   0.001569001   0.000027870   0.000773974   0.000019672   3.757772021   0.107458322  
   112.500   0.001662740   0.000028801   0.001043661   0.000022827   0.000532358   0.000016350   3.123352166   0.110131174  
   137.500   0.000940899   0.000021659   0.000640132   0.000017910   0.000361923   0.000013408   2.599722992   0.113390646  
   162.500   0.000542884   0.000016491   0.000335856   0.000013018   0.000208532   0.000010197   2.603365385   0.149870654  
   187.500   0.000271192   0.000011749   0.000212542   0.000010319   0.000116798   0.000007641   2.321888412   0.182178904  
   212.500   0.000151386   0.000008724   0.000114793   0.000007608   0.000069678   0.000005947   2.172661871   0.223751284  
   237.500   0.000075693   0.000006154   0.000065667   0.000005733   0.000040102   0.000004481   1.887500000   0.260840296  
   262.500   0.000049125   0.000004959   0.000032082   0.000004009   0.000024061   0.000003472   2.041666667   0.359544102  
   287.500   0.000025565   0.000003579   0.000018547   0.000003048   0.000008020   0.000002005   3.187500000   0.913221688  


 rap  pi-   err  pi0   err   pi+    err    pi-/pi+   err
 -0.973684    0.108101    0.005070    0.064765    0.003963    0.033097    0.002805    3.266187    0.316357  
 -0.921053    0.073575    0.004191    0.039050    0.003046    0.024049    0.002391    3.059406    0.350607  
 -0.868421    0.094529    0.004768    0.053812    0.003574    0.024049    0.002391    3.930693    0.438283  
