System: A1+A2=192
Executable: ./pispectr
Energy: 0.270000
Filter: 0
   scm(1) or lab(0) filter:  1
   theta cut: 0
       thmin1,thmax1: 0.000000 0.000000
       thmin2,thmax2: 0.000000 0.000000
   rapidity cut: 0
       rapmin,rapmax: 0.000000 0.000000
   pt cut: 0
       ptmin,ptmax: 0.000000 0.000000
   phi cut: 0
       phimin,phimax: 0.000000 0.000000
   ekin cut: 0
       ekmin,ekmax: 0.000000 0.300000

Number of records read: 79796
Number of events that dont conserve energy: 255

pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.550190    0.002593    0.254699    0.001766    0.114066    0.001191    4.823445    0.055270    0.664256    0.002854  

<pt>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.104682   0.000283   0.118446   0.000441   0.126622   0.000694   1.209584   0.007391   0.108450   0.000263   0.061118

<pm>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.137909   0.000302   0.155045   0.000459   0.164689   0.000725   1.194189   0.005872   0.142507   0.000279   0.142507

avdens: pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  


 Ekin  pi-   err  pi0   err   pi+    err    pi-/pi+   err
 -0.815789    0.121435    0.005371    0.062860    0.003877    0.028335    0.002596    4.285714    0.435939  
 -0.763158    0.148103    0.005953    0.072385    0.004157    0.038811    0.003055    3.815951    0.337309  
 -0.710526    0.185009    0.006630    0.096910    0.004803    0.040478    0.003101    4.570588    0.386593  
 -0.657895    0.202391    0.006921    0.100243    0.004873    0.043336    0.003209    4.670330    0.380895  
 -0.605263    0.234297    0.007469    0.119768    0.005366    0.051669    0.003503    4.534562    0.339695  
 -0.552632    0.265966    0.007945    0.116434    0.005281    0.056670    0.003668    4.693277    0.334558  
 -0.500000    0.283348    0.008201    0.133816    0.005635    0.060241    0.003781    4.703557    0.325115  
 -0.447368    0.312397    0.008626    0.145960    0.005911    0.071670    0.004151    4.358804    0.279655  
 -0.394737    0.341446    0.009068    0.156675    0.006138    0.063337    0.003877    5.390977    0.359708  
 -0.342105    0.378114    0.009478    0.157389    0.006124    0.067622    0.004020    5.591549    0.360717  
 -0.289474    0.367399    0.009341    0.167627    0.006299    0.074528    0.004204    4.929712    0.305039  
 -0.236842    0.385972    0.009584    0.167627    0.006308    0.070718    0.004096    5.457912    0.343936  
 -0.184211    0.406687    0.009798    0.171199    0.006409    0.074766    0.004211    5.439490    0.333218  
 -0.131579    0.387162    0.009574    0.168104    0.006308    0.071432    0.004130    5.420000    0.340839  
 -0.078947    0.428355    0.010075    0.175485    0.006443    0.086433    0.004539    4.955923    0.285157  
 -0.026316    0.400734    0.009781    0.191676    0.006755    0.075242    0.004238    5.325949    0.326920  


 pt  pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.010000    0.970600    0.024613    0.246880    0.012407    0.110908    0.008327    8.751412    0.693531  
  0.030000    2.436839    0.038998    0.768209    0.021897    0.321445    0.014229    7.580897    0.356841  
  0.050000    3.330367    0.045716    1.164219    0.026942    0.495012    0.017569    6.727848    0.256024  
  0.070000    3.708206    0.048045    1.593438    0.031753    0.570204    0.018919    6.503297    0.231642  
  0.090000    3.847311    0.049209    1.725024    0.033145    0.643516    0.020108    5.978578    0.201855  
  0.110000    3.577874    0.047354    1.676776    0.032270    0.705549    0.020990    5.071048    0.165117  
  0.130000    2.988872    0.043280    1.482530    0.030439    0.660434    0.020266    4.525617    0.153559  
  0.150000    2.192466    0.036940    1.217480    0.027468    0.639130    0.019982    3.430392    0.121832  
  0.170000    1.539551    0.031036    0.920472    0.024007    0.456163    0.016922    3.375000    0.142495  
  0.190000    1.081508    0.026142    0.631611    0.019906    0.355908    0.014907    3.038732    0.146948  
  0.210000    0.676099    0.020615    0.478094    0.017271    0.247506    0.012486    2.731646    0.161016  
  0.230000    0.437365    0.016577    0.274450    0.013108    0.176074    0.010485    2.483986    0.175341  
  0.250000    0.264424    0.012868    0.188606    0.010887    0.110281    0.008351    2.397727    0.215825  
  0.270000    0.160409    0.010009    0.132212    0.009090    0.074565    0.006830    2.151261    0.238436  
  0.290000    0.102135    0.007992    0.090857    0.007538    0.051381    0.005671    1.987805    0.268942  
