System: A1+A2=192
Executable: ./pispectr
Energy: 0.270000
Filter: 0
   scm(1) or lab(0) filter:  1
   theta cut: 0
       thmin1,thmax1: 0.000000 0.000000
       thmin2,thmax2: 0.000000 0.000000
   rapidity cut: 0
       rapmin,rapmax: 0.000000 0.000000
   pt cut: 0
       ptmin,ptmax: 0.000000 0.000000
   phi cut: 0
       phimin,phimax: 0.000000 0.000000
   ekin cut: 0
       ekmin,ekmax: 0.000000 0.300000

Number of records read: 84400
Number of events that dont conserve energy: 312

pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.592085    0.002609    0.267014    0.001756    0.134313    0.001256    4.408257    0.045571    0.726398    0.002896  

<pt>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.105326   0.000267   0.119083   0.000415   0.125017   0.000622   1.186953   0.006629   0.108967   0.000246   0.061370

<pm>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.138374   0.000284   0.155589   0.000435   0.162767   0.000646   1.176285   0.005253   0.142885   0.000260   0.142885

avdens: pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  


 Ekin  pi-   err  pi0   err   pi+    err    pi-/pi+   err
 -0.815789    0.119313    0.005186    0.065284    0.003827    0.036244    0.002854    3.291925    0.296063  
 -0.763158    0.162986    0.006040    0.078566    0.004233    0.045699    0.003204    3.566502    0.282800  
 -0.710526    0.178294    0.006354    0.094100    0.004591    0.046825    0.003243    3.807692    0.296554  
 -0.657895    0.209135    0.006853    0.099502    0.004731    0.053353    0.003461    3.919831    0.284867  
 -0.605263    0.244028    0.007378    0.121564    0.005224    0.056955    0.003590    4.284585    0.299493  
 -0.552632    0.279147    0.007901    0.131694    0.005435    0.065735    0.003853    4.246575    0.276431  
 -0.500000    0.294005    0.008135    0.144526    0.005709    0.062133    0.003747    4.731884    0.313991  
 -0.447368    0.331374    0.008626    0.146327    0.005744    0.070237    0.003982    4.717949    0.294314  
 -0.394737    0.371445    0.009121    0.153981    0.005907    0.078341    0.004191    4.741379    0.279087  
 -0.342105    0.391706    0.009391    0.160960    0.006019    0.085320    0.004373    4.591029    0.259766  
 -0.289474    0.404313    0.009529    0.173791    0.006251    0.091623    0.004531    4.412776    0.241723  
 -0.236842    0.422998    0.009774    0.178969    0.006325    0.081718    0.004280    5.176309    0.296314  
 -0.184211    0.412642    0.009618    0.182571    0.006404    0.087346    0.004436    4.724227    0.263965  
 -0.131579    0.450687    0.010044    0.180770    0.006381    0.100403    0.004774    4.488789    0.235698  
 -0.078947    0.461718    0.010225    0.194277    0.006602    0.099953    0.004752    4.619369    0.242292  
 -0.026316    0.449787    0.010064    0.180095    0.006377    0.099502    0.004731    4.520362    0.237545  


 pt  pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.010000    1.071090    0.025241    0.276066    0.012781    0.155806    0.009592    6.874525    0.453185  
  0.030000    2.602488    0.039280    0.747630    0.021071    0.380924    0.014965    6.832037    0.287528  
  0.050000    3.472156    0.045350    1.263033    0.027381    0.573460    0.018383    6.054752    0.209586  
  0.070000    3.965640    0.048466    1.625592    0.030981    0.703791    0.020413    5.634680    0.177345  
  0.090000    4.146919    0.049315    1.773104    0.032388    0.781991    0.021518    5.303030    0.158969  
  0.110000    3.888033    0.047948    1.693720    0.031683    0.848934    0.022533    4.579902    0.134041  
  0.130000    3.189573    0.043196    1.593009    0.030585    0.771327    0.021392    4.135177    0.127628  
  0.150000    2.411137    0.037663    1.283175    0.027574    0.702607    0.020396    3.431703    0.113126  
  0.170000    1.660545    0.031347    1.026659    0.024708    0.530806    0.017698    3.128348    0.119864  
  0.190000    1.168246    0.026254    0.699052    0.020311    0.420024    0.015841    2.781382    0.122111  
  0.210000    0.752962    0.021061    0.485782    0.016944    0.284953    0.013010    2.642412    0.141481  
  0.230000    0.473341    0.016687    0.319313    0.013710    0.195498    0.010741    2.421212    0.158053  
  0.250000    0.290877    0.013116    0.207346    0.011092    0.120853    0.008451    2.406863    0.200265  
  0.270000    0.179502    0.010328    0.145142    0.009259    0.085900    0.007128    2.089655    0.210993  
  0.290000    0.131517    0.008815    0.086493    0.007152    0.055687    0.005740    2.361702    0.290394  
