System: A1+A2=192
Executable: ./pispectr
Energy: 0.270000
Filter: 0
   scm(1) or lab(0) filter:  1
   theta cut: 0
       thmin1,thmax1: 0.000000 0.000000
       thmin2,thmax2: 0.000000 0.000000
   rapidity cut: 0
       rapmin,rapmax: 0.000000 0.000000
   pt cut: 0
       ptmin,ptmax: 0.000000 0.000000
   phi cut: 0
       phimin,phimax: 0.000000 0.000000
   ekin cut: 0
       ekmin,ekmax: 0.000000 0.300000

Number of records read: 84400
Number of events that dont conserve energy: 312

pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.592085    0.002609    0.267014    0.001756    0.134313    0.001256    4.408257    0.045571    0.726398    0.002896  

<pt>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.105326   0.000267   0.119083   0.000415   0.125017   0.000622   1.186953   0.006629   0.108967   0.000246   0.061370

<pm>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.138374   0.000284   0.155589   0.000435   0.162767   0.000646   1.176285   0.005253   0.142885   0.000260   0.142885

avdens: pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  


 Ekin  pi-   err  pi0   err   pi+    err    pi-/pi+   err
    12.500   0.004886   0.000048   0.001384   0.000025   0.000661   0.000018   7.395983   0.211548   0.005547   0.000051  
    37.500   0.006531   0.000055   0.002587   0.000035   0.001066   0.000022   6.127168   0.139092   0.007597   0.000060  
    62.500   0.005036   0.000049   0.002376   0.000033   0.001171   0.000024   4.302024   0.095860   0.006207   0.000054  
    87.500   0.003138   0.000038   0.001708   0.000028   0.000928   0.000021   3.382022   0.087246   0.004066   0.000044  
   112.500   0.001860   0.000030   0.001109   0.000023   0.000620   0.000017   3.000765   0.096069   0.002480   0.000034  
   137.500   0.001012   0.000022   0.000659   0.000018   0.000402   0.000014   2.515901   0.102149   0.001415   0.000026  
   162.500   0.000552   0.000016   0.000381   0.000013   0.000220   0.000010   2.508621   0.137771   0.000772   0.000019  
   187.500   0.000320   0.000012   0.000218   0.000010   0.000134   0.000008   2.388693   0.168945   0.000455   0.000015  
   212.500   0.000153   0.000009   0.000118   0.000007   0.000070   0.000006   2.182432   0.216791   0.000223   0.000010  
   237.500   0.000080   0.000006   0.000068   0.000006   0.000053   0.000005   1.508929   0.183706   0.000133   0.000008  
   262.500   0.000048   0.000005   0.000035   0.000004   0.000023   0.000003   2.081633   0.362829   0.000072   0.000006  
   287.500   0.000035   0.000004   0.000017   0.000003   0.000011   0.000002   3.041667   0.715546   0.000046   0.000005  


 rap  pi-   err  pi0   err   pi+    err    pi-/pi+   err
 -0.973684    0.116836    0.005123    0.062808    0.003754    0.038045    0.002924    3.071006    0.271705  
 -0.921053    0.085320    0.004407    0.038720    0.002949    0.020261    0.002135    4.211111    0.494114  
 -0.868421    0.098152    0.004699    0.052678    0.003439    0.031742    0.002671    3.092199    0.299363  
