System: A1+A2=192
Executable: ./pispectr
Energy: 0.270000
Filter: 0
   scm(1) or lab(0) filter:  1
   theta cut: 0
       thmin1,thmax1: 0.000000 0.000000
       thmin2,thmax2: 0.000000 0.000000
   rapidity cut: 0
       rapmin,rapmax: 0.000000 0.000000
   pt cut: 0
       ptmin,ptmax: 0.000000 0.000000
   phi cut: 0
       phimin,phimax: 0.000000 0.000000
   ekin cut: 0
       ekmin,ekmax: 0.000000 0.300000

Number of records read: 84213
Number of events that dont conserve energy: 267

pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.543681    0.002500    0.247503    0.001698    0.117143    0.001178    4.641156    0.051333    0.660824    0.002764  

<pt>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.103484   0.000271   0.118859   0.000431   0.130263   0.000679   1.258775   0.007349   0.108231   0.000254   0.060701

<pm>
pi-   err  pi0   err   pi+    err    pi+/pi-   err
  0.136799   0.000289   0.155488   0.000451   0.168280   0.000704   1.230127   0.005767   0.142379   0.000268   0.142379

avdens: pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.000000    0.000000    0.000000    0.000000    0.000000    0.000000  


 Ekin  pi-   err  pi0   err   pi+    err    pi-/pi+   err
    12.500   0.004532   0.000046   0.001234   0.000024   0.000509   0.000016   8.909430   0.287188   0.005041   0.000049  
    37.500   0.006110   0.000054   0.002482   0.000034   0.000871   0.000020   7.014177   0.175045   0.006981   0.000058  
    62.500   0.004591   0.000047   0.002200   0.000032   0.001011   0.000022   4.540160   0.108668   0.005602   0.000051  
    87.500   0.002985   0.000038   0.001572   0.000027   0.000821   0.000020   3.636574   0.098399   0.003806   0.000042  
   112.500   0.001671   0.000028   0.001013   0.000022   0.000540   0.000016   3.094107   0.105133   0.002211   0.000032  
   137.500   0.000838   0.000020   0.000584   0.000017   0.000370   0.000013   2.268638   0.097450   0.001208   0.000024  
   162.500   0.000484   0.000015   0.000363   0.000013   0.000247   0.000011   1.957774   0.105401   0.000732   0.000019  
   187.500   0.000249   0.000011   0.000204   0.000010   0.000143   0.000008   1.744186   0.125990   0.000392   0.000014  
   212.500   0.000139   0.000008   0.000118   0.000007   0.000084   0.000006   1.649718   0.157701   0.000223   0.000010  
   237.500   0.000070   0.000006   0.000063   0.000005   0.000041   0.000004   1.709302   0.231904   0.000111   0.000007  
   262.500   0.000038   0.000004   0.000031   0.000004   0.000023   0.000003   1.653061   0.299063   0.000062   0.000005  
   287.500   0.000020   0.000003   0.000019   0.000003   0.000013   0.000002   1.555556   0.383635   0.000033   0.000004  


 rap  pi-   err  pi0   err   pi+    err    pi-/pi+   err
 -0.973684    0.102205    0.004800    0.062271    0.003756    0.033843    0.002761    3.020000    0.284268  
 -0.921053    0.074680    0.004097    0.043093    0.003115    0.020983    0.002175    3.559140    0.417347  
 -0.868421    0.094985    0.004618    0.053020    0.003454    0.026172    0.002428    3.629310    0.380165  
 -0.815789    0.115517    0.005110    0.068137    0.003927    0.029105    0.002561    3.968992    0.390831  
 -0.763158    0.134920    0.005535    0.069716    0.003959    0.038130    0.002930    3.538462    0.308233  
 -0.710526    0.165153    0.006128    0.082802    0.004325    0.044672    0.003171    3.696970    0.296110  
 -0.657895    0.200349    0.006741    0.101303    0.004779    0.045801    0.003227    4.374384    0.341504  
 -0.605263    0.217045    0.007016    0.117547    0.005154    0.053697    0.003476    4.042017    0.292445  
 -0.552632    0.251790    0.007528    0.125669    0.005307    0.055502    0.003534    4.536585    0.319080  
 -0.500000    0.279767    0.007925    0.122060    0.005250    0.059338    0.003653    4.714829    0.319524  
 -0.447368    0.296688    0.008174    0.154549    0.005907    0.064076    0.003796    4.630282    0.302505  
 -0.394737    0.340909    0.008744    0.146201    0.005730    0.064527    0.003836    5.283217    0.342039  
 -0.342105    0.351288    0.008929    0.140560    0.005620    0.070167    0.003984    5.006431    0.311459  
 -0.289474    0.370691    0.009134    0.158384    0.005970    0.075808    0.004140    4.889881    0.292951  
 -0.236842    0.377008    0.009253    0.163573    0.006082    0.080771    0.004272    4.667598    0.272140  
 -0.184211    0.392576    0.009406    0.180720    0.006387    0.080320    0.004248    4.887640    0.283786  
 -0.131579    0.392125    0.009374    0.173501    0.006285    0.083479    0.004330    4.697297    0.268292  
 -0.078947    0.421230    0.009766    0.174177    0.006248    0.082351    0.004325    5.115068    0.293633  
 -0.026316    0.410174    0.009617    0.166055    0.006119    0.069716    0.003959    5.883495    0.361442  


 pt  pi-   err  pi0   err   pi+    err    pi-/pi+   err
  0.010000    0.954128    0.023767    0.233931    0.011758    0.102122    0.007779    9.343023    0.748757  
  0.030000    2.464584    0.038195    0.703573    0.020415    0.303991    0.013394    8.107422    0.378663  
  0.050000    3.273841    0.044052    1.193996    0.026612    0.448862    0.016338    7.293651    0.283040  
  0.070000    3.733390    0.046880    1.494425    0.029662    0.584233    0.018648    6.390244    0.219189  
  0.090000    3.879449    0.047968    1.649983    0.031324    0.679230    0.020086    5.711538    0.183069  
  0.110000    3.539834    0.045867    1.611984    0.030882    0.716041    0.020557    4.943615    0.155711  
  0.130000    2.926508    0.041580    1.459395    0.029438    0.685167    0.020119    4.271231    0.139327  
  0.150000    2.191467    0.035984    1.224870    0.026885    0.613919    0.019030    3.569632    0.125216  
  0.170000    1.574579    0.030486    0.907817    0.023173    0.486861    0.017023    3.234146    0.129260  
  0.190000    0.995690    0.024231    0.648950    0.019555    0.371083    0.014836    2.683200    0.125585  
  0.210000    0.625794    0.019265    0.435206    0.016114    0.273711    0.012796    2.286334    0.127979  
  0.230000    0.394832    0.015297    0.276086    0.012768    0.200088    0.010878    1.973294    0.131730  
  0.250000    0.221462    0.011503    0.207806    0.011085    0.130621    0.008795    1.695455    0.144178  
  0.270000    0.154964    0.009614    0.115184    0.008303    0.092029    0.007433    1.683871    0.171490  
  0.290000    0.096185    0.007550    0.077185    0.006764    0.070060    0.006445    1.372881    0.166020  
