2272,2273,2274,2275,2276,2283,2284,2285,2286,2288,2289,2291,2310,2311,2314,2315,2320,2322,2323,2324,2325,2331,2332,2333,2334,2335,2336,2337,2340,2341,2362,2363,2368,2369,2370,2371,2372,2373,2374,2375,2378,2379,2380,2381,2382,2383,2384,2385,2386,2387,2388,2389,2391,2392,2393,2394,2395,2396,2397,2398,2399,2400,2401,2402,2429,2432,2433,2434,2437,2438,2439,2440,2442,2453,2461,2462,2463,2501,2502,2503,2505,2506,2507,2508,2509,2542,2543,2544,2546,2547,2548,2552,2553,2554,2555,2556,2557,2558,2559,2560,2562,2563,2564,2565,2566,2567,2568,2569,2570,2571,2572,2573,2574,2575,2578,2579,2580,2581,2582,2583,2584,2585,2586,2587,2588,2589,2590,2591,2592,2593,2594,2595,2596,2597,2598,2599,2600,2601,2617,2618,2619,2620,2621,2622,2623,2841,2843,2844,2845,2846,2848,2849,2850,2851,2852,2855,2856,2857,2858,2859,2860,2861,2875,2877,2878,2879,2880,2881,2882,2883,2884,2887,2888,2889,2890,2891,2892,2893,2894,2896,2898,2899,2900,2901,2902,2903,2904,2905,2907,2914,2916,2917,2919,2920,2921,2922,2924,2925,2926,2927,2929,2930,2931,2932,2933,2934,2935,2936,2939,2940,2941,2942,2943,2944,2945,2946,2948,2955,2956,2958,2959,2960,2961,2962,2964,2965,2966,2968,2969,2970,2971,2972,2973,2975,2976,2977,2978,2979
108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,108112,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,112124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124,132124
110162,86832,111436,74554,82858,80415,87900,5173,12278,14466,12718,30560,75371,93435,79031,78086,52084,73227,74409,100162,93024,98879,99980,104823,99410,100424,100753,98888,99774,100508,97783,98388,109275,105066,92089,89479,115113,92377,107419,109628,34329,95112,28465,98063,82411,81165,96686,103278,102155,103636,94414,97055,87152,97930,91605,85309,89201,89601,87065,83530,90695,73091,65587,20968,19642,67794,67950,66740,68906,68047,80613,75262,73984,62533,66507,73588,85787,68001,66509,66072,61957,56491,54770,63047,44075,54441,60097,53322,60455,52712,4585,66544,72778,90841,80018,87618,78171,73866,66874,91907,92098,81895,78572,78840,97396,93625,99304,104663,106777,101007,102786,13232,92461,91023,89597,92265,94913,94486,72735,75616,52827,50238,81229,107502,96512,119310,87035,79359,83980,80466,82127,14120,92868,79621,95335,76071,82986,9475,68277,71378,77804,75616,69262,77474,79713,85241,83735,18427,75291,75581,8231,73807,70228,75209,83753,75845,10944,84234,88711,75357,84405,84666,92098,90952,87321,73034,80168,75153,86946,91515,60403,91771,90972,89712,86247,75440,13157,73908,94285,65286,115149,71200,86916,88750,85788,102451,82746,91334,68421,19492,83421,84578,93087,90909,86144,77767,59660,84454,89957,92891,40790,81973,82227,87435,87993,90267,89660,88915,88721,83467,89232,86283,91411,88076,92661,90389,91717,86941,89041,90877,88566,88513,85847,87528,97362,98817,61744,29485,83772,87448,96290,89277,89248,87877,89335,20105,88548,92390
1.09E-08,1.09E-08,9.31E-09,9.99E-09,1.05E-08,1.62E-08,1.56E-08,1.36E-08,1.16E-08,1.08E-08,1.62E-08,1.54E-08,1.17E-08,1.19E-08,8.67E-09,1.07E-08,8.24E-09,1.1E-08,1.09E-08,1.42E-08,1.63E-08,2.08E-08,2.04E-08,2.07E-08,2.37E-08,2.11E-08,2.1E-08,2.29E-08,2.16E-08,2.38E-08,2.02E-08,1.97E-08,2.59E-08,2.31E-08,2.23E-08,2.22E-08,2.02E-08,2.29E-08,2.17E-08,2.21E-08,2.29E-08,1.96E-08,1.73E-08,1.75E-08,1.88E-08,1.67E-08,1.97E-08,2.11E-08,2.26E-08,1.76E-08,1.91E-08,1.88E-08,1.84E-08,1.78E-08,1.81E-08,1.89E-08,1.75E-08,1.56E-08,1.58E-08,1.56E-08,1.73E-08,1.52E-08,1.66E-08,1.59E-08,1.02E-08,7.36E-09,6.86E-09,9.23E-09,1.25E-08,1.09E-08,9.83E-09,1.26E-08,1.03E-08,6.71E-09,1.27E-08,1.12E-08,1.5E-08,2.18E-08,1.85E-08,2.02E-08,1.75E-08,1.63E-08,1.51E-08,1.69E-08,1.76E-08,1.82E-08,1.87E-08,1.57E-08,1.94E-08,1.67E-08,1.63E-08,1.59E-08,1.92E-08,2.3E-08,1.99E-08,2.1E-08,2.04E-08,1.61E-08,1.56E-08,2.19E-08,2.79E-08,2.06E-08,1.73E-08,2.05E-08,2.24E-08,2.73E-08,2.53E-08,2.72E-08,2.77E-08,2.54E-08,2.65E-08,2.47E-08,2.6E-08,2.44E-08,2.43E-08,2.27E-08,2.39E-08,2.17E-08,2.13E-08,1.89E-08,1.68E-08,2.28E-08,2.05E-08,2.28E-08,2.27E-08,2.14E-08,2.21E-08,2.2E-08,2.13E-08,2.09E-08,2.27E-08,2.27E-08,2.16E-08,2.05E-08,2.16E-08,2.02E-08,2.38E-08,2.19E-08,2E-08,1.86E-08,1.9E-08,1.79E-08,1.4E-08,1.95E-08,2.04E-08,4.23E-08,4.29E-08,4.03E-08,3.92E-08,3.9E-08,3.82E-08,3.74E-08,3.96E-08,4.14E-08,4.33E-08,4.14E-08,3.95E-08,4.23E-08,4.26E-08,4.01E-08,4.26E-08,4.17E-08,4.11E-08,4.25E-08,4.31E-08,4.13E-08,3.94E-08,4.18E-08,4.29E-08,3.97E-08,4.21E-08,4.15E-08,4.38E-08,4.21E-08,4.25E-08,4.1E-08,4.53E-08,4.38E-08,4.45E-08,4.26E-08,4.13E-08,4.04E-08,3.91E-08,4.04E-08,4.09E-08,4.05E-08,4.03E-08,4.14E-08,4.24E-08,4.29E-08,4.17E-08,4.17E-08,4.13E-08,4.38E-08,4.28E-08,4.33E-08,3.81E-08,4.05E-08,4.3E-08,4.29E-08,4.36E-08,3.97E-08,3.86E-08,4.17E-08,4.23E-08,4.37E-08,4.35E-08,4.47E-08,4.35E-08,4.31E-08,4.37E-08,4.25E-08,4.68E-08,4.54E-08,4.55E-08,4.6E-08,4.52E-08,4.55E-08,4.5E-08,4.62E-08,4.35E-08,4.63E-08,4.5E-08,4.46E-08,4.48E-08,4.45E-08,4.64E-08,4.29E-08,4.22E-08,4.34E-08,4.42E-08,4.37E-08,4.39E-08,4.5E-08,4.52E-08,4.3E-08,4.31E-08,4.53E-08
